cards:
  100000:
    name: "엘리멘탈 슬래시"
    desc: "정면에 참격을 날리는 스킬을 획득합니다."
    icon:
      path: "UI\\SkillIconSet.png"
      index: 0
    skill_id: 100000
  100001:
    name: "다크 임페일"
    desc: "정면에 참격을 날리는 스킬을 획득합니다."
    icon:
      path: "UI\\SkillIconSet.png"
      index: 1
    skill_id: 100001
  100002:
    name: "팬텀 블로우"
    desc: "캐릭터 정면의 적을 찔러 공격하는 스킬을 획득합니다."
    icon:
      path: "UI\\SkillIconSet.png"
      index: 2
    skill_id: 100002
  100003:
    name: "암살"
    desc: "캐릭터 주변에 무기를 휘두르는 스킬을 획득합니다."
    icon:
      path: "UI\\SkillIconSet.png"
      index: 3
    skill_id: 100003
  100004:
    name: "체인아츠:스트로크"
    desc: "채찍으로 정면 범위를 휩쓰는 스킬을 획득합니다."
    icon:
      path: "UI\\SkillIconSet.png"
      index: 4
    skill_id: 100004
  100005:
    name: "레이징 블로우"
    desc: "넓은 범위에 참격을 날리는 스킬을 획득합니다."
    icon:
      path: "UI\\SkillIconSet.png"
      index: 5
    skill_id: 100005
  100006:
    name: "스트라이크"
    desc: "넓은 범위에 참격을 날리는 스킬을 획득합니다."
    icon:
      path: "UI\\SkillIconSet.png"
      index: 6
    skill_id: 100006
  100101:
    name: "체력 카드(소)"
    desc: "영구적으로 최대 체력을 200 증가"
    icon:
      path: "UI\\StatIconSet.png"
      index: 3
    max_hp: 200
  100102:
    name: "체력 카드(중)"
    desc: "영구적으로 최대 채력을 500 증가"
    icon:
      path: "UI\\StatIconSet.png"
      index: 3
    max_hp: 500
  100103:
    name: "체력 카드(대)"
    desc: "영구적으로 최대 채력을 1000 증가"
    icon:
      path: "UI\\StatIconSet.png"
      index: 3
    max_hp: 1000
  100201:
    name: "공격력 카드(소)"
    desc: "영구적으로 공격력을 50 증가"
    icon:
      path: "UI\\StatIconSet.png"
      index: 0
    atk: 50
  100202:
    name: "공격력 카드(중)"
    desc: "영구적으로 공격력을 100 증가"
    icon:
      path: "UI\\StatIconSet.png"
      index: 0
    atk: 100
  100202:
    name: "공격력 카드(대)"
    desc: "영구적으로 공격력을 300 증가"
    icon:
      path: "UI\\StatIconSet.png"
      index: 0
    atk: 300
  100301:
    name: "방어력 카드(소)"
    desc: "영구적으로 방어력을 30 증가"
    icon:
      path: "UI\\StatIconSet.png"
      index: 1
    def: 30
  100302:
    name: "방어력 카드(중)"
    desc: "영구적으로 방어력을 50 증가"
    icon:
      path: "UI\\StatIconSet.png"
      index: 1
    def: 50
  100303:
    name: "방어력 카드(대)"
    desc: "영구적으로 방어력을 100 증가"
    icon:
      path: "UI\\StatIconSet.png"
      index: 1
    def: 100
  100401:
    name: "방어력 무시 카드(소)"
    desc: "영구적으로 방어력 무시를 10 증가"
    icon:
      path: "UI\\StatIconSet.png"
      index: 2
    dig: 10
  100402:
    name: "방어력 무시 카드(중)"
    desc: "영구적으로 방어력 무시를 20 증가"
    icon:
      path: "UI\\StatIconSet.png"
      index: 2
    dig: 20
  100403:
    name: "방어력 무시 카드(대)"
    desc: "영구적으로 방어력 무시를 30 증가"
    icon:
      path: "UI\\StatIconSet.png"
      index: 2
    dig: 30
